Driver,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedFL,Stint,PitInTime,PitOutTime,TyreLife,Compound,Driver_Pos_x,AvgLapTime,BestSectorTime,TireStrategy,LapVariance,Pos,Driver_Pos_y,Q1,Q2,Q3,Laps
4,8,-0.320882065,31,-0.171726655,-0.248610763,-0.25719239,302,2,,,15,1,6,-0.319804122,17.957,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.297631574,32,-0.119429226,-0.280798356,-0.224372207,301,2,,,16,1,6,-0.325682514,17.888,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.270619974,33,-0.121153317,-0.214090737,-0.219190073,301,2,,,17,1,6,-0.331154887,18.031,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.22463187,34,-0.175174838,-0.208959381,-0.117850564,301,2,,,18,1,6,-0.336061718,18.042,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,0.256106225,35,1.135134384,-0.087672801,-0.039542761,300,2,,,19,1,5,-0.335265894,18.302,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.259507607,36,-0.295286516,-0.11006417,-0.177445105,287,2,,,20,1,5,-0.346595741,18.254,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.234205602,37,-0.180347111,-0.127324183,-0.18176355,288,2,,,21,1,5,-0.350931454,18.217,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.284809612,38,-0.214828932,-0.12032688,-0.25402553,288,2,,,22,1,5,-0.355910942,18.232,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.249591956,39,-0.211955447,-0.141318789,-0.183203032,287,2,,,23,1,5,-0.359674474,18.187,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.259507607,40,-0.186668778,-0.144584196,-0.210553183,287,2,,,24,1,4,-0.363742374,18.18,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,2.522687186,41,-0.187243475,-0.143184736,4.474095956,,2,0 days 01:55:55.327000,,25,1,7,-0.337884378,18.183,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,0.532547725,42,2.689115146,-0.063415485,-0.367456685,283,3,,0 days 01:56:13.143000,2,0,7,-0.362858742,18.354,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.428757505,43,-0.420570468,-0.146450144,-0.377245161,289,3,,,3,0,7,-0.376227047,18.176,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.485174138,44,-0.467120927,-0.153913933,-0.444325006,289,3,,,4,0,7,-0.380010281,18.16,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.474916568,45,-0.425742741,-0.191232881,-0.424748056,290,3,,,5,0,7,-0.382978594,18.08,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.493722112,46,-0.501028052,-0.149249065,-0.444612903,289,3,,,6,0,6,-0.38609365,18.17,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.521246591,47,-0.46079926,-0.181436657,-0.491252109,290,3,,,7,0,6,-0.38915713,18.101,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.493209234,48,-0.462523351,-0.14411771,-0.466205128,289,3,,,8,0,6,-0.39158767,18.181,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.53167512,49,-0.475166686,-0.204761,-0.48722156,290,3,,,9,0,6,-0.39451146,18.051,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.597665484,50,-0.597577153,-0.226685881,-0.523496498,290,3,,,10,0,6,-0.397558601,18.004,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.563131666,51,-0.530912297,-0.180037197,-0.527527047,290,3,,,11,0,6,-0.399625829,18.104,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.639208641,52,-0.638955339,-0.226685881,-0.572726771,291,3,,,12,0,6,-0.402542093,18.004,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.575269791,53,-0.557923058,-0.21502371,-0.512844334,291,3,,,13,0,6,-0.404195094,18.029,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.546548596,54,-0.557348361,-0.198696671,-0.474842018,289,3,,,14,0,6,-0.406071566,18.064,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.560738234,55,-0.540682147,-0.19729721,-0.507950096,289,3,,,15,0,6,-0.408220378,18.067,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,-0.594930132,56,-0.680333524,-0.23275021,-0.473690432,290,3,,,16,0,6,-0.410448365,17.991,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,1.872186314,57,-0.631484277,0.153967385,3.417804308,164,3,,,17,0,6,-0.393442325,18.82,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
4,8,7.561376329,58,6.826933741,9.375945844,3.570677261,213,3,,,18,0,6,-0.352772431,38.589,,1.645872707,11,14,1.330124344,1.866774889,0.198947148,13
3,6,1.075002197,1,-0.200174158,-0.039624656,-0.032921146,289,1,,,1,1,4,6.237272769,18.405,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.208219759,2,-0.207932568,-0.236948592,-0.056528645,301,1,,,2,1,4,2.57952612,17.982,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.248908118,3,-0.195289234,-0.269602671,-0.111228948,303,1,,,3,1,4,1.541076227,17.912,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.292844708,4,-0.195289234,-0.221554526,-0.214871628,299,1,,,4,1,3,1.021496797,18.015,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.273526285,5,-0.113682256,-0.261205908,-0.198749434,300,1,,,5,1,3,0.715271618,17.93,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.266516946,6,-0.158508624,-0.310653514,-0.133972759,299,1,,,6,1,3,0.510225961,17.824,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.264636391,7,-0.074602858,-0.252342658,-0.208825805,300,1,,,7,1,3,0.363444943,17.949,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.213519503,8,-0.186094081,-0.31112,-0.030617975,299,1,,,8,1,3,0.256045791,17.823,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,2.018014762,9,-0.186094081,-0.23135075,3.678062594,,1,0 days 01:11:00.168000,,9,1,5,0.278269415,17.994,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,0.620420905,10,2.76957273,-0.061549538,-0.260935042,292,2,,0 days 01:11:17.342000,1,0,7,0.137627801,18.358,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.270961893,11,-0.110808771,-0.220155066,-0.221205348,288,2,,,2,0,5,0.042645916,18.018,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.408755244,12,-0.367123645,-0.114729038,-0.389912599,288,2,,,3,0,5,-0.00909227,18.244,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.343619677,13,-0.216553024,-0.136187433,-0.342409704,288,2,,,4,0,5,-0.046056616,18.198,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.38977874,14,-0.256207118,-0.169307999,-0.379836228,288,2,,,5,0,4,-0.081210548,18.127,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.42687695,15,-0.371146524,-0.134321486,-0.40632269,288,2,,,6,0,3,-0.111413603,18.202,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.33934569,16,-0.284367273,-0.065747919,-0.344712875,288,2,,,7,0,3,-0.134441033,18.349,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,2.257187093,17,-0.336090005,-0.189366934,4.130059838,239,2,,,8,0,2,-0.090333362,18.084,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,0.79736398,18,3.602308722,-0.147383118,-0.327151199,300,2,,,9,0,2,-0.149498805,18.174,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.401916864,19,-0.514820781,-0.132922025,-0.293179431,290,2,,,10,0,2,-0.196450349,18.205,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.401233026,20,-0.392985011,-0.177238276,-0.325711717,289,2,,,11,0,2,-0.21251601,18.11,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.371657034,21,-0.353905613,-0.175372328,-0.296634187,289,2,,,12,0,2,-0.226451029,18.114,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.429099424,22,-0.416547589,-0.194964776,-0.349895009,289,2,,,13,0,2,-0.240845851,18.072,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.39319793,23,-0.387238041,-0.199629644,-0.301240529,289,2,,,14,0,2,-0.252217343,18.062,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.40687469,24,-0.366548948,-0.208959381,-0.328878577,289,2,,,15,0,2,-0.263542967,18.042,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.3899497,25,-0.29068894,-0.192165855,-0.348743424,287,2,,,16,0,2,-0.273428204,18.078,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.374392386,26,-0.285516667,-0.186101526,-0.328878577,289,2,,,17,0,2,-0.282576001,18.091,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.412003474,27,-0.288964849,-0.201029105,-0.381275709,288,2,,,18,0,2,-0.291905788,18.059,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.386872429,28,-0.34298637,-0.152047986,-0.342121808,288,2,,,19,0,2,-0.299591001,18.164,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.307547224,29,-0.142417107,-0.107731736,-0.336363881,288,2,,,20,0,2,-0.305930436,18.259,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.333020189,30,-0.2211506,-0.099801459,-0.344712875,288,2,,,21,0,2,-0.313372144,18.276,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.382256523,31,-0.29068894,-0.142718249,-0.3663051,289,2,,,22,0,2,-0.320668364,18.184,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.408755244,32,-0.222299994,-0.167908539,-0.429642293,288,2,,,23,0,2,-0.327198397,18.13,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.377811576,33,-0.201036204,-0.148316091,-0.400276867,289,2,,,24,0,2,-0.332572821,18.172,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,2.005363759,34,-0.148164077,-0.132922025,3.577010981,,2,0 days 01:45:52.771000,,25,0,4,-0.30743087,18.205,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,0.635807259,35,2.982785327,-0.024697077,-0.364577722,288,3,,0 days 01:46:09.984000,1,0,4,-0.330530208,18.437,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.391488335,36,-0.344710461,-0.120793367,-0.368320374,288,3,,,2,0,4,-0.348196099,18.231,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.60587154,37,-0.491258203,-0.188900447,-0.613895947,291,3,,,3,0,4,-0.355316358,18.085,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.561251112,38,-0.570566392,-0.244412382,-0.464765646,290,3,,,4,0,4,-0.359086563,17.966,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.568089492,39,-0.522291842,-0.281264842,-0.477720981,291,3,,,5,0,3,-0.3632394,17.887,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.560567274,40,-0.520567751,-0.277532948,-0.468220402,291,3,,,6,0,3,-0.367027876,17.895,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.608094013,41,-0.566543513,-0.288728632,-0.518314364,292,3,,,7,0,2,-0.371217652,17.871,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.578347061,42,-0.417696983,-0.291061066,-0.541346071,291,3,,,8,0,2,-0.374404774,17.866,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.577663223,43,-0.57688806,-0.31112,-0.448067659,292,3,,,9,0,2,-0.377738699,17.823,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.627754355,44,-0.588382,-0.2933935,-0.537603418,290,3,,,10,0,2,-0.381424822,17.861,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.653740198,45,-0.564819422,-0.321849198,-0.575605734,291,3,,,11,0,2,-0.384713283,17.8,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.593562456,46,-0.599875941,-0.183769092,-0.541921863,291,3,,,12,0,2,-0.387041102,18.096,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.723662631,47,-0.738952621,-0.32604758,-0.603531679,291,3,,,13,0,2,-0.391037122,17.791,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.663826808,48,-0.556198967,-0.301323777,-0.609577502,290,3,,,14,0,2,-0.393139312,17.844,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.698873504,49,-0.674586554,-0.301323777,-0.609289605,291,3,,,15,0,2,-0.396000976,17.844,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.736313633,50,-0.688379283,-0.335843803,-0.644125062,291,3,,,16,0,2,-0.398769069,17.77,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.68673538,51,-0.65792034,-0.295259448,-0.600940612,291,3,,,17,0,2,-0.400683792,17.857,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.666904079,52,-0.641828824,-0.291527553,-0.577908905,291,3,,,18,0,2,-0.402774588,17.865,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.644337426,53,-0.586083212,-0.297591882,-0.564089881,291,3,,,19,0,2,-0.404763958,17.852,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.668784633,54,-0.617116851,-0.317184329,-0.577621009,292,3,,,20,0,2,-0.407059697,17.81,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.559028639,55,-0.376893494,-0.306921619,-0.519465949,292,3,,,21,0,2,-0.408206809,17.832,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.755461096,56,-0.602749426,-0.428208199,-0.662262531,294,3,,,22,0,2,-0.411699719,17.572,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,-0.574585953,57,-0.592404879,-0.330712448,-0.423020678,294,3,,,23,0,2,-0.412180523,17.781,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
3,6,4.404438328,58,4.390218346,5.258266454,2.016324957,156,3,,,24,0,2,-0.376532471,29.762,,-0.507390386,7,16,-1.168196163,-0.860339731,1.222103909,20
8,4,1.551124386,1,-0.200174158,0.033147292,0.167166806,289,1,,,1,1,9,6.445112004,18.561,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.07264888,2,0.354121124,-0.221088039,-0.119577942,303,1,,,2,1,9,2.609116159,18.016,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.175908414,3,-0.048166795,-0.187034499,-0.112956326,302,1,,,3,1,9,1.551698292,18.089,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.136416771,4,-0.024604216,-0.180037197,-0.062574468,301,1,,,4,1,8,1.038567973,18.104,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.157615749,5,-0.011960882,-0.20616046,-0.088485138,303,1,,,5,1,8,0.725391187,18.048,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.134536217,6,-0.038396945,-0.174905841,-0.055664956,292,1,,,6,1,8,0.519828109,18.115,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.233863683,7,-0.140693016,-0.253275632,-0.123320594,301,1,,,7,1,8,0.365363952,17.947,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.145477625,8,-0.128624378,-0.124058775,-0.060271297,289,1,,,8,1,6,0.259758539,18.224,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,2.3896807,9,0.021371546,-0.075544143,4.103861271,,1,0 days 01:11:08.035000,,9,1,9,0.296296245,18.328,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,0.967639636,10,3.520127047,0.020552147,-0.102879955,289,2,,0 days 01:11:26.560000,1,0,12,0.152784767,18.534,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.22805106,11,-0.103912406,-0.093270643,-0.230705927,289,2,,,2,0,12,0.044348793,18.29,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.24497605,12,-0.182071202,-0.103533354,-0.213720043,290,2,,,3,0,12,-0.003134461,18.268,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.205142488,13,-0.214254235,-0.129656617,-0.114395808,289,2,,,4,0,12,-0.041406712,18.212,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.240873022,14,-0.171151958,-0.11892742,-0.202779982,289,2,,,5,0,12,-0.076567615,18.235,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.153170802,15,-0.0085127,-0.11146363,-0.141170167,291,2,,,6,0,12,-0.103448298,18.251,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.167531399,16,-0.098740133,-0.124058775,-0.112380534,291,2,,,7,0,11,-0.129753456,18.224,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,3.3072203,17,0.017923364,5.252668612,2.36237635,245,2,,,8,0,9,-0.063370671,29.124,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,0.11284217,18,0.982839672,-0.171173947,-0.152973917,291,2,,,9,0,9,-0.16609941,18.123,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.211638948,19,-0.110808771,-0.119393907,-0.183490928,290,2,,,10,0,9,-0.192078714,18.234,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.202407136,20,-0.182645899,-0.166042591,-0.103167851,290,2,,,11,0,9,-0.208176386,18.134,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.216083895,21,-0.163680897,-0.111930117,-0.169096111,291,2,,,12,0,9,-0.223217145,18.25,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.266516946,22,-0.174600141,-0.150648525,-0.224660104,289,2,,,13,0,9,-0.237619882,18.167,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.218648288,23,-0.120003923,-0.150648525,-0.171399282,289,2,,,14,0,9,-0.248904505,18.167,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
8,4,-0.206168245,24,-0.131497864,-0.141785275,-0.150094953,289,2,,,15,0,9,-0.25989241,18.186,,0.437676402,5,22,0.497350841,-0.081164126,0.198947148,18
